reading_id,office_id,office_name,city,region,num_windows,latitude,longitude,service_type_id,service_type,appointment_eligible,observed_at,wait_minutes,queue_length,windows_serving,congestion_status,source
DMV-001-SVC-DL-RENEW-202401080800,DMV-001,Oakland Claremont,Oakland,Bay Area,12,37.8112,-122.2506,SVC-DL-RENEW,Driver License Renewal,True,2024-01-08T08:00:00Z,10.4,1,1,LOW,kiosk-sensor
DMV-001-SVC-DL-RENEW-202401080815,DMV-001,Oakland Claremont,Oakland,Bay Area,12,37.8112,-122.2506,SVC-DL-RENEW,Driver License Renewal,True,2024-01-08T08:15:00Z,0.0,0,0,LOW,kiosk-sensor
DMV-001-SVC-DL-RENEW-202401080830,DMV-001,Oakland Claremont,Oakland,Bay Area,12,37.8112,-122.2506,SVC-DL-RENEW,Driver License Renewal,True,2024-01-08T08:30:00Z,6.0,2,2,LOW,kiosk-sensor
DMV-001-SVC-DL-RENEW-202401080845,DMV-001,Oakland Claremont,Oakland,Bay Area,12,37.8112,-122.2506,SVC-DL-RENEW,Driver License Renewal,True,2024-01-08T08:45:00Z,3.8,1,0,LOW,kiosk-sensor
DMV-001-SVC-DL-RENEW-202401080900,DMV-001,Oakland Claremont,Oakland,Bay Area,12,37.8112,-122.2506,SVC-DL-RENEW,Driver License Renewal,True,2024-01-08T09:00:00Z,9.2,0,0,LOW,kiosk-sensor
DMV-001-SVC-DL-RENEW-202401080915,DMV-001,Oakland Claremont,Oakland,Bay Area,12,37.8112,-122.2506,SVC-DL-RENEW,Driver License Renewal,True,2024-01-08T09:15:00Z,11.2,3,2,LOW,kiosk-sensor
DMV-001-SVC-DL-RENEW-202401080930,DMV-001,Oakland Claremont,Oakland,Bay Area,12,37.8112,-122.2506,SVC-DL-RENEW,Driver License Renewal,True,2024-01-08T09:30:00Z,5.7,1,2,LOW,kiosk-sensor
DMV-001-SVC-DL-RENEW-202401080945,DMV-001,Oakland Claremont,Oakland,Bay Area,12,37.8112,-122.2506,SVC-DL-RENEW,Driver License Renewal,True,2024-01-08T09:45:00Z,7.7,1,2,LOW,kiosk-sensor
DMV-001-SVC-DL-RENEW-202401081000,DMV-001,Oakland Claremont,Oakland,Bay Area,12,37.8112,-122.2506,SVC-DL-RENEW,Driver License Renewal,True,2024-01-08T10:00:00Z,10.3,2,1,LOW,kiosk-sensor
DMV-001-SVC-DL-RENEW-202401081015,DMV-001,Oakland Claremont,Oakland,Bay Area,12,37.8112,-122.2506,SVC-DL-RENEW,Driver License Renewal,True,2024-01-08T10:15:00Z,15.6,2,2,LOW,kiosk-sensor
DMV-001-SVC-DL-RENEW-202401081030,DMV-001,Oakland Claremont,Oakland,Bay Area,12,37.8112,-122.2506,SVC-DL-RENEW,Driver License Renewal,True,2024-01-08T10:30:00Z,14.1,2,2,LOW,kiosk-sensor
DMV-001-SVC-DL-RENEW-202401081045,DMV-001,Oakland Claremont,Oakland,Bay Area,12,37.8112,-122.2506,SVC-DL-RENEW,Driver License Renewal,True,2024-01-08T10:45:00Z,7.0,0,0,LOW,kiosk-sensor
DMV-001-SVC-DL-RENEW-202401081100,DMV-001,Oakland Claremont,Oakland,Bay Area,12,37.8112,-122.2506,SVC-DL-RENEW,Driver License Renewal,True,2024-01-08T11:00:00Z,17.9,3,3,LOW,kiosk-sensor
DMV-001-SVC-DL-RENEW-202401081115,DMV-001,Oakland Claremont,Oakland,Bay Area,12,37.8112,-122.2506,SVC-DL-RENEW,Driver License Renewal,True,2024-01-08T11:15:00Z,17.5,3,2,LOW,kiosk-sensor
DMV-001-SVC-DL-RENEW-202401081130,DMV-001,Oakland Claremont,Oakland,Bay Area,12,37.8112,-122.2506,SVC-DL-RENEW,Driver License Renewal,True,2024-01-08T11:30:00Z,15.4,3,2,LOW,kiosk-sensor
DMV-001-SVC-DL-RENEW-202401081145,DMV-001,Oakland Claremont,Oakland,Bay Area,12,37.8112,-122.2506,SVC-DL-RENEW,Driver License Renewal,True,2024-01-08T11:45:00Z,24.0,3,1,MODERATE,kiosk-sensor
DMV-001-SVC-DL-RENEW-202401081200,DMV-001,Oakland Claremont,Oakland,Bay Area,12,37.8112,-122.2506,SVC-DL-RENEW,Driver License Renewal,True,2024-01-08T12:00:00Z,20.8,2,2,MODERATE,kiosk-sensor
DMV-001-SVC-DL-RENEW-202401081215,DMV-001,Oakland Claremont,Oakland,Bay Area,12,37.8112,-122.2506,SVC-DL-RENEW,Driver License Renewal,True,2024-01-08T12:15:00Z,25.3,3,2,MODERATE,kiosk-sensor
DMV-001-SVC-DL-RENEW-202401081230,DMV-001,Oakland Claremont,Oakland,Bay Area,12,37.8112,-122.2506,SVC-DL-RENEW,Driver License Renewal,True,2024-01-08T12:30:00Z,22.2,3,2,MODERATE,kiosk-sensor
DMV-001-SVC-DL-RENEW-202401081245,DMV-001,Oakland Claremont,Oakland,Bay Area,12,37.8112,-122.2506,SVC-DL-RENEW,Driver License Renewal,True,2024-01-08T12:45:00Z,26.7,2,1,MODERATE,kiosk-sensor
DMV-001-SVC-DL-RENEW-202401081300,DMV-001,Oakland Claremont,Oakland,Bay Area,12,37.8112,-122.2506,SVC-DL-RENEW,Driver License Renewal,True,2024-01-08T13:00:00Z,22.4,2,1,MODERATE,kiosk-sensor
DMV-001-SVC-DL-RENEW-202401081315,DMV-001,Oakland Claremont,Oakland,Bay Area,12,37.8112,-122.2506,SVC-DL-RENEW,Driver License Renewal,True,2024-01-08T13:15:00Z,21.0,3,1,MODERATE,kiosk-sensor
DMV-001-SVC-DL-RENEW-202401081330,DMV-001,Oakland Claremont,Oakland,Bay Area,12,37.8112,-122.2506,SVC-DL-RENEW,Driver License Renewal,True,2024-01-08T13:30:00Z,15.6,4,2,LOW,kiosk-sensor
DMV-001-SVC-DL-RENEW-202401081345,DMV-001,Oakland Claremont,Oakland,Bay Area,12,37.8112,-122.2506,SVC-DL-RENEW,Driver License Renewal,True,2024-01-08T13:45:00Z,10.2,2,0,LOW,kiosk-sensor
DMV-001-SVC-DL-RENEW-202401081400,DMV-001,Oakland Claremont,Oakland,Bay Area,12,37.8112,-122.2506,SVC-DL-RENEW,Driver License Renewal,True,2024-01-08T14:00:00Z,11.5,1,0,LOW,kiosk-sensor
DMV-001-SVC-DL-RENEW-202401081415,DMV-001,Oakland Claremont,Oakland,Bay Area,12,37.8112,-122.2506,SVC-DL-RENEW,Driver License Renewal,True,2024-01-08T14:15:00Z,13.3,1,1,LOW,kiosk-sensor
DMV-001-SVC-DL-RENEW-202401081430,DMV-001,Oakland Claremont,Oakland,Bay Area,12,37.8112,-122.2506,SVC-DL-RENEW,Driver License Renewal,True,2024-01-08T14:30:00Z,7.9,0,1,LOW,kiosk-sensor
DMV-001-SVC-DL-RENEW-202401081445,DMV-001,Oakland Claremont,Oakland,Bay Area,12,37.8112,-122.2506,SVC-DL-RENEW,Driver License Renewal,True,2024-01-08T14:45:00Z,11.1,2,2,LOW,kiosk-sensor
DMV-001-SVC-DL-RENEW-202401081500,DMV-001,Oakland Claremont,Oakland,Bay Area,12,37.8112,-122.2506,SVC-DL-RENEW,Driver License Renewal,True,2024-01-08T15:00:00Z,15.7,4,2,LOW,kiosk-sensor
DMV-001-SVC-DL-RENEW-202401081515,DMV-001,Oakland Claremont,Oakland,Bay Area,12,37.8112,-122.2506,SVC-DL-RENEW,Driver License Renewal,True,2024-01-08T15:15:00Z,24.1,5,2,MODERATE,kiosk-sensor
DMV-001-SVC-DL-RENEW-202401081530,DMV-001,Oakland Claremont,Oakland,Bay Area,12,37.8112,-122.2506,SVC-DL-RENEW,Driver License Renewal,True,2024-01-08T15:30:00Z,22.4,3,1,MODERATE,kiosk-sensor
DMV-001-SVC-DL-RENEW-202401081545,DMV-001,Oakland Claremont,Oakland,Bay Area,12,37.8112,-122.2506,SVC-DL-RENEW,Driver License Renewal,True,2024-01-08T15:45:00Z,18.1,3,2,LOW,kiosk-sensor
DMV-001-SVC-DL-RENEW-202401081600,DMV-001,Oakland Claremont,Oakland,Bay Area,12,37.8112,-122.2506,SVC-DL-RENEW,Driver License Renewal,True,2024-01-08T16:00:00Z,20.1,3,3,MODERATE,kiosk-sensor
DMV-001-SVC-DL-RENEW-202401081615,DMV-001,Oakland Claremont,Oakland,Bay Area,12,37.8112,-122.2506,SVC-DL-RENEW,Driver License Renewal,True,2024-01-08T16:15:00Z,17.1,4,3,LOW,kiosk-sensor
DMV-001-SVC-DL-RENEW-202401081630,DMV-001,Oakland Claremont,Oakland,Bay Area,12,37.8112,-122.2506,SVC-DL-RENEW,Driver License Renewal,True,2024-01-08T16:30:00Z,20.6,3,2,MODERATE,kiosk-sensor
DMV-001-SVC-DL-RENEW-202401081645,DMV-001,Oakland Claremont,Oakland,Bay Area,12,37.8112,-122.2506,SVC-DL-RENEW,Driver License Renewal,True,2024-01-08T16:45:00Z,24.1,3,2,MODERATE,kiosk-sensor
DMV-001-SVC-DL-RENEW-202401081700,DMV-001,Oakland Claremont,Oakland,Bay Area,12,37.8112,-122.2506,SVC-DL-RENEW,Driver License Renewal,True,2024-01-08T17:00:00Z,21.6,4,2,MODERATE,kiosk-sensor
DMV-001-SVC-DL-NEW-202401080800,DMV-001,Oakland Claremont,Oakland,Bay Area,12,37.8112,-122.2506,SVC-DL-NEW,New Driver License,True,2024-01-08T08:00:00Z,11.8,2,2,LOW,kiosk-sensor
DMV-001-SVC-DL-NEW-202401080815,DMV-001,Oakland Claremont,Oakland,Bay Area,12,37.8112,-122.2506,SVC-DL-NEW,New Driver License,True,2024-01-08T08:15:00Z,18.9,2,1,LOW,kiosk-sensor
DMV-001-SVC-DL-NEW-202401080830,DMV-001,Oakland Claremont,Oakland,Bay Area,12,37.8112,-122.2506,SVC-DL-NEW,New Driver License,True,2024-01-08T08:30:00Z,14.8,2,1,LOW,kiosk-sensor
DMV-001-SVC-DL-NEW-202401080845,DMV-001,Oakland Claremont,Oakland,Bay Area,12,37.8112,-122.2506,SVC-DL-NEW,New Driver License,True,2024-01-08T08:45:00Z,22.9,2,2,MODERATE,kiosk-sensor
DMV-001-SVC-DL-NEW-202401080900,DMV-001,Oakland Claremont,Oakland,Bay Area,12,37.8112,-122.2506,SVC-DL-NEW,New Driver License,True,2024-01-08T09:00:00Z,21.6,2,2,MODERATE,kiosk-sensor
DMV-001-SVC-DL-NEW-202401080915,DMV-001,Oakland Claremont,Oakland,Bay Area,12,37.8112,-122.2506,SVC-DL-NEW,New Driver License,True,2024-01-08T09:15:00Z,15.9,2,1,LOW,kiosk-sensor
DMV-001-SVC-DL-NEW-202401080930,DMV-001,Oakland Claremont,Oakland,Bay Area,12,37.8112,-122.2506,SVC-DL-NEW,New Driver License,True,2024-01-08T09:30:00Z,27.4,3,2,MODERATE,kiosk-sensor
DMV-001-SVC-DL-NEW-202401080945,DMV-001,Oakland Claremont,Oakland,Bay Area,12,37.8112,-122.2506,SVC-DL-NEW,New Driver License,True,2024-01-08T09:45:00Z,29.8,5,2,MODERATE,kiosk-sensor
DMV-001-SVC-DL-NEW-202401081000,DMV-001,Oakland Claremont,Oakland,Bay Area,12,37.8112,-122.2506,SVC-DL-NEW,New Driver License,True,2024-01-08T10:00:00Z,17.7,3,1,LOW,kiosk-sensor
DMV-001-SVC-DL-NEW-202401081015,DMV-001,Oakland Claremont,Oakland,Bay Area,12,37.8112,-122.2506,SVC-DL-NEW,New Driver License,True,2024-01-08T10:15:00Z,23.5,3,1,MODERATE,kiosk-sensor
DMV-001-SVC-DL-NEW-202401081030,DMV-001,Oakland Claremont,Oakland,Bay Area,12,37.8112,-122.2506,SVC-DL-NEW,New Driver License,True,2024-01-08T10:30:00Z,15.3,3,1,LOW,kiosk-sensor
DMV-001-SVC-DL-NEW-202401081045,DMV-001,Oakland Claremont,Oakland,Bay Area,12,37.8112,-122.2506,SVC-DL-NEW,New Driver License,True,2024-01-08T10:45:00Z,16.1,2,2,LOW,kiosk-sensor
DMV-001-SVC-DL-NEW-202401081100,DMV-001,Oakland Claremont,Oakland,Bay Area,12,37.8112,-122.2506,SVC-DL-NEW,New Driver License,True,2024-01-08T11:00:00Z,23.2,3,2,MODERATE,kiosk-sensor
DMV-001-SVC-DL-NEW-202401081115,DMV-001,Oakland Claremont,Oakland,Bay Area,12,37.8112,-122.2506,SVC-DL-NEW,New Driver License,True,2024-01-08T11:15:00Z,22.7,3,2,MODERATE,kiosk-sensor
